QueryNumber;DocInfos
7;[56, '4', 0.009597970021250126]
7;[57, '42', 0.009504459302249245]
7;[58, '64', 0.008698534262112692]
7;[59, '74', 0.007960123552358422]
7;[60, '8', 0.007864554722323062]
7;[61, '156', 0.007637862695903161]
7;[62, '43', 0.007078192545342997]
7;[63, '61', 0.006998356891989533]
7;[64, '21', 0.006720926398714364]
7;[65, '27', 0.006694185848748328]
7;[66, '53', 0.006551959612392752]
7;[67, '15', 0.006418543197303]
7;[68, '13', 0.0063227845790352925]
7;[69, '68', 0.005991494565204491]
7;[70, '92', 0.0058293106081165735]
7;[71, '148', 0.005637400783515576]
7;[72, '49', 0.005579677497444591]
7;[73, '85', 0.0052853256640140655]
7;[74, '40', 0.004752839084465451]
7;[75, '5', 0.0047052783957385255]
7;[76, '161', 0.003983874664623805]
7;[77, '93', 0.0038055386193544477]
7;[78, '123', 0.003595128067545701]
8;[1, '160', 0.18404731535159138]
8;[2, '138', 0.10265192682433821]
8;[3, '124', 0.10100539347826228]
8;[4, '11', 0.10062631787596092]
8;[5, '145', 0.09389727985983616]
8;[6, '32', 0.08373328759770228]
8;[7, '35', 0.08004338337962298]
8;[8, '65', 0.07996548120318143]
8;[9, '51', 0.07214597293393352]
8;[10, '87', 0.06792903240507299]
8;[11, '55', 0.06545415464581149]
8;[12, '25', 0.06455464585070646]
8;[13, '151', 0.06113149170671316]
8;[14, '1', 0.057864530670506405]
8;[15, '57', 0.056887897678349675]
8;[16, '158', 0.05594224597974071]
8;[17, '148', 0.05469667361276473]
8;[18, '140', 0.05440040140290781]
8;[19, '2', 0.04912000813188593]
8;[20, '44', 0.04806313915188336]
8;[21, '52', 0.0464324944661155]
8;[22, '122', 0.04007479881143535]
8;[23, '143', 0.03921371571833709]
8;[24, '161', 0.0386533973036421]
8;[25, '100', 0.03857681648567984]
8;[26, '6', 0.037961658680875185]
8;[27, '150', 0.03749522655318853]
8;[28, '26', 0.03627166209112897]
8;[29, '166', 0.03592997485971901]
8;[30, '62', 0.03585619617260794]
8;[31, '141', 0.03534216202777667]
8;[32, '80', 0.033907342275483365]
8;[33, '137', 0.031193416444081627]
8;[34, '15', 0.031137839565965598]
8;[35, '139', 0.031021137907977805]
8;[36, '159', 0.030304349360733087]
8;[37, '99', 0.02985350872918984]
8;[38, '70', 0.0279435852353949]
8;[39, '113', 0.027868671210539916]
8;[40, '108', 0.027661245902755843]
8;[41, '49', 0.02706830777710763]
8;[42, '7', 0.025785334710054907]
8;[43, '85', 0.025640338862111662]
8;[44, '144', 0.024396882727656048]
8;[45, '8', 0.021335159485358732]
8;[46, '45', 0.018339955874897812]
8;[47, '24', 0.017343576867336757]
8;[48, '59', 0.01621541190104369]
8;[49, '31', 0.015412334471120219]
8;[50, '3', 0.015210701300220758]
8;[51, '78', 0.014645645138115669]
8;[52, '48', 0.012439165582708911]
8;[53, '134', 0.010955769664829198]
8;[54, '149', 0.01064477450491559]
9;[1, '59', 0.2525182477075118]
9;[2, '99', 0.1520823979781939]
9;[3, '149', 0.13801368502797876]
9;[4, '42', 0.06759777817793088]
9;[5, '167', 0.06504501993987519]
9;[6, '9', 0.0577162444925147]
9;[7, '73', 0.044230377745321174]
9;[8, '69', 0.02972923535986162]
9;[9, '129', 0.029612160687245398]
9;[10, '32', 0.02811131025551732]
9;[11, '57', 0.027994917259506286]
9;[12, '5', 0.027786303933854922]
9;[13, '155', 0.026716058841862116]
9;[14, '2', 0.02594675728991509]
9;[15, '64', 0.02568393370783507]
9;[16, '61', 0.024886916854004966]
9;[17, '156', 0.022552116625620736]
9;[18, '38', 0.019766211477280946]
9;[19, '27', 0.01976574677828777]
9;[20, '25', 0.019645403842294455]
9;[21, '13', 0.018669120001537157]
9;[22, '160', 0.018207924728580682]
9;[23, '20', 0.01739049279928431]
9;[24, '11', 0.017126302886781415]
9;[25, '148', 0.016645405265455028]
9;[26, '70', 0.014760694297242753]
9;[27, '81', 0.01382737181748187]
9;[28, '124', 0.013001665899958843]
9;[29, '134', 0.01157437497381063]
9;[30, '93', 0.011236513954750641]
9;[31, '62', 0.010911832057579274]
9;[32, '43', 0.010449796633997938]
9;[33, '47', 0.009625606210928115]
9;[34, '144', 0.008591475162427649]
9;[35, '141', 0.007170266746317932]
10;[1, '159', 0.1984276447025425]
10;[2, '81', 0.1353655185944147]
10;[3, '27', 0.09211998272846712]
10;[4, '75', 0.06373126891702496]
10;[5, '62', 0.057489680402242616]
10;[6, '31', 0.05719807421099112]
10;[7, '61', 0.05310145517902772]
10;[8, '55', 0.04968012366871792]
10;[9, '148', 0.0427749241217914]
10;[10, '49', 0.042336936957748206]
10;[11, '144', 0.04114975699318122]
10;[12, '11', 0.04101409761763995]
10;[13, '139', 0.039897167205216764]
10;[14, '51', 0.036506171145823545]
10;[15, '24', 0.03510369655584443]
10;[16, '7', 0.03382581556333969]
10;[17, '100', 0.029974206736106387]
10;[18, '80', 0.02965363888557641]
10;[19, '93', 0.02887529766580122]
10;[20, '23', 0.028265550653555075]
10;[21, '6', 0.02766611502788772]
10;[22, '123', 0.027278764842667322]
10;[23, '82', 0.026920484684576647]
10;[24, '160', 0.02616262040334589]
10;[25, '26', 0.025647648397635378]
10;[26, '59', 0.024615203509762273]
10;[27, '8', 0.02326009677580351]
10;[28, '1', 0.022491279425174086]
10;[29, '89', 0.02116321811298431]
10;[30, '141', 0.02060563956310611]
10;[31, '150', 0.01897274514484115]
10;[32, '86', 0.01830993570753316]
10;[33, '166', 0.016937361179694962]
10;[34, '3', 0.01539335994324596]
10;[35, '113', 0.014101666932266655]
10;[36, '4', 0.01357357937530231]
10;[37, '42', 0.013441335248264007]
10;[38, '167', 0.012933737510433679]
10;[39, '64', 0.012301585126246814]
10;[40, '140', 0.011797215422650248]
10;[41, '74', 0.01125731468591078]
10;[42, '156', 0.010801569012089781]
10;[43, '149', 0.01077260293491368]
10;[44, '43', 0.010010075894712206]
10;[45, '143', 0.009921154009442745]
10;[46, '21', 0.009504825264773217]
10;[47, '53', 0.009265870143966598]
10;[48, '65', 0.009263726925687395]
10;[49, '15', 0.009077190840303472]
10;[50, '13', 0.00894176770363517]
10;[51, '52', 0.008588102979576615]
10;[52, '68', 0.008473252872996882]
10;[53, '151', 0.008280174853775404]
10;[54, '92', 0.008243890121283813]
10;[55, '85', 0.007474579235607276]
10;[56, '108', 0.006998354419292592]
10;[57, '40', 0.006721529493027965]
10;[58, '5', 0.006654268521994543]
10;[59, '155', 0.006397966055735625]
10;[60, '124', 0.006227282069435216]
10;[61, '137', 0.005769499911362469]
10;[62, '22', 0.005726302475411589]
10;[63, '161', 0.005634049581505551]
10;[64, '134', 0.005543666349675912]
10;[65, '47', 0.004610283437982101]
11;[1, '35', 0.24087409455819553]
11;[2, '38', 0.17717610490832914]
11;[3, '158', 0.12338174802800614]
11;[4, '10', 0.11779693248483336]
11;[5, '99', 0.11703918567650523]
11;[6, '42', 0.05499033358555421]
11;[7, '167', 0.047522123070388785]
11;[8, '54', 0.045859918266639745]
11;[9, '53', 0.03404536553959003]
11;[10, '148', 0.03261653712038345]
11;[11, '52', 0.03155506182241422]
11;[12, '26', 0.031412180808402676]
11;[13, '68', 0.031133070816711003]
11;[14, '117', 0.029132659961803982]
11;[15, '97', 0.02904923770841494]
11;[16, '65', 0.017018745381907372]
11;[17, '137', 0.010599367917478748]
12;[1, '140', 0.18385295078378416]
12;[2, '32', 0.12598905108009267]
12;[3, '123', 0.09422017740526913]
12;[4, '23', 0.08570179318628628]
12;[5, '35', 0.08552740575548196]
12;[6, '117', 0.08262619980214751]
12;[7, '26', 0.0749454805832702]
12;[8, '166', 0.0682512157929969]
12;[9, '144', 0.06276712453489365]
12;[10, '42', 0.06149241481316544]
12;[11, '87', 0.058828267717289544]
12;[12, '100', 0.05647409030174677]
12;[13, '49', 0.050423874789443095]
12;[14, '149', 0.049283300807246126]
12;[15, '57', 0.049266364557340604]
12;[16, '59', 0.04914086952135078]
12;[17, '158', 0.04844740616321333]
12;[18, '122', 0.04387058035169236]
12;[19, '129', 0.04213444478155681]
12;[20, '62', 0.040651342860673116]
12;[21, '124', 0.03613464118107736]
12;[22, '55', 0.03512915233633675]
12;[23, '66', 0.032873674829073087]
12;[24, '150', 0.03282077800084601]
12;[25, '139', 0.0327817537965137]
12;[26, '20', 0.03221600991416215]
12;[27, '159', 0.031233665878770658]
12;[28, '11', 0.02900134654968023]
12;[29, '4', 0.02810842412945277]
12;[30, '97', 0.027463199059549488]
12;[31, '93', 0.025823396921034688]
12;[32, '51', 0.025813761172368502]
12;[33, '24', 0.024822061879352448]
12;[34, '141', 0.024772790845998253]
12;[35, '5', 0.024473516538672097]
12;[36, '7', 0.02391846356400295]
12;[37, '70', 0.021002643656208974]
12;[38, '80', 0.020968289142848175]
12;[39, '6', 0.019562897545306455]
12;[40, '82', 0.019035657273292744]
12;[41, '160', 0.0184997663008154]
12;[42, '8', 0.018081026440996233]
12;[43, '1', 0.015903736199102073]
12;[44, '89', 0.014964655039421175]
12;[45, '31', 0.012707976655168374]
12;[46, '86', 0.012460593658474425]
12;[47, '3', 0.010884749201114586]
12;[48, '113', 0.00997138431383985]
12;[49, '167', 0.009145533499714469]
12;[50, '64', 0.008698534262112692]
12;[51, '74', 0.007960123552358422]
12;[52, '156', 0.007637862695903161]
12;[53, '43', 0.007078192545342997]
12;[54, '143', 0.0070153152772730685]
12;[55, '61', 0.006998356891989533]
12;[56, '21', 0.006720926398714364]
12;[57, '27', 0.006694185848748328]
12;[58, '53', 0.006551959612392752]
12;[59, '65', 0.0065504441282139645]
12;[60, '15', 0.006418543197303]
12;[61, '13', 0.0063227845790352925]
12;[62, '52', 0.006072705854387018]
12;[63, '68', 0.005991494565204491]
12;[64, '151', 0.005854967788514917]
12;[65, '92', 0.0058293106081165735]
12;[66, '148', 0.005637400783515576]
12;[67, '85', 0.0052853256640140655]
12;[68, '108', 0.004948583867028634]
12;[69, '40', 0.004752839084465451]
12;[70, '155', 0.004524045183812008]
12;[71, '137', 0.004079652511379587]
12;[72, '22', 0.004049107311488848]
12;[73, '161', 0.003983874664623805]
12;[74, '134', 0.003919964068491512]
12;[75, '47', 0.003259962682189173]
13;[1, '10', 0.12178129969215783]
13;[2, '156', 0.1010320122779203]
13;[3, '52', 0.06941756169605462]
13;[4, '159', 0.06743526117799596]
13;[5, '11', 0.06261555677396631]
13;[6, '82', 0.052446168978604324]
13;[7, '62', 0.05142033335366078]
13;[8, '64', 0.04989166227031949]
13;[9, '55', 0.04443525346153981]
13;[10, '61', 0.04014005670163342]
13;[11, '48', 0.03979594209995925]
13;[12, '27', 0.03839544105668509]
13;[13, '1', 0.03789213583737745]
13;[14, '144', 0.03680546155774022]
13;[15, '122', 0.03644246126119816]
13;[16, '13', 0.03626521702618387]
13;[17, '89', 0.035654687327199105]
13;[18, '51', 0.032652112112121136]
13;[19, '148', 0.032334102217501826]
13;[20, '24', 0.03139770070415735]
13;[21, '7', 0.030254729197599153]
13;[22, '38', 0.02992859492592342]
13;[23, '141', 0.029286953460916067]
13;[24, '50', 0.027895047503927472]
13;[25, '100', 0.02680974553342639]
13;[26, '80', 0.026523020931351983]
13;[27, '23', 0.0252814770731251]
13;[28, '6', 0.024745325550274172]
13;[29, '127', 0.0238342618901998]
13;[30, '160', 0.023400559076561748]
13;[31, '22', 0.023224222425723633]
13;[32, '26', 0.022939954112050506]
13;[33, '59', 0.022016507331127942]
13;[34, '93', 0.021827200058343606]
13;[35, '8', 0.018738035648225806]
13;[36, '150', 0.01696973914545756]
13;[37, '31', 0.016074460273032092]
13;[38, '166', 0.015149236382905584]
13;[39, '3', 0.013768239694088108]
13;[40, '113', 0.012612914342643665]
13;[41, '4', 0.01214057847246604]
13;[42, '42', 0.012022295729392932]
13;[43, '139', 0.01185841530520166]
13;[44, '167', 0.01156828651058744]
13;[45, '140', 0.010551750252101946]
13;[46, '74', 0.01006884835272128]
13;[47, '149', 0.009635308982832293]
13;[48, '43', 0.008953284064203407]
13;[49, '143', 0.008873749912143427]
13;[50, '21', 0.00850137416251614]
13;[51, '53', 0.00828764620503803]
13;[52, '65', 0.008285729252332863]
13;[53, '15', 0.0081188863054628]
13;[54, '68', 0.0075787077658265685]
13;[55, '151', 0.007406013535450474]
13;[56, '92', 0.007373559484091836]
13;[57, '49', 0.0070577958004452955]
13;[58, '85', 0.006685466909610515]
13;[59, '108', 0.00625951848486972]
13;[60, '40', 0.0060119187436720916]
13;[61, '5', 0.00595175870228674]
13;[62, '155', 0.005722514807344425]
13;[63, '124', 0.005569850408929082]
13;[64, '137', 0.005160397599194197]
13;[65, '161', 0.005039247141140261]
13;[66, '134', 0.004958405920981384]
13;[67, '123', 0.004547517269377635]
13;[68, '47', 0.004123562865147766]
14;[1, '150', 0.23419538735718495]
14;[2, '68', 0.1280473987996315]
14;[3, '129', 0.11895496562930018]
14;[4, '64', 0.11560167949481086]
14;[5, '7', 0.0829638938584063]
14;[6, '92', 0.07943022952190269]
14;[7, '89', 0.07821394182915303]
14;[8, '87', 0.06619083908258658]
14;[9, '21', 0.06391834644519737]
14;[10, '24', 0.06343670449628021]
14;[11, '155', 0.06263812827510912]
14;[12, '38', 0.05622866114749239]
14;[13, '11', 0.05443853457788841]
14;[14, '5', 0.04474883323784773]
14;[15, '144', 0.04102588416254637]
14;[16, '62', 0.03832645360149508]
14;[17, '66', 0.03456726289564165]
14;[18, '55', 0.033120082445811945]
14;[19, '159', 0.02944738259225816]
14;[20, '49', 0.029162621527923007]
14;[21, '131', 0.02573662877680985]
14;[22, '50', 0.025679597901570015]
14;[23, '51', 0.024337447430549032]
14;[24, '20', 0.02424018295787842]
14;[25, '4', 0.023994606269329064]
14;[26, '69', 0.023517553817826848]
14;[27, '152', 0.023130506753294807]
14;[28, '97', 0.021508091483390456]
14;[29, '48', 0.02079142743908874]
14;[30, '100', 0.01998280449073759]
14;[31, '134', 0.01982901601037816]
14;[32, '80', 0.019769092590384275]
14;[33, '140', 0.019308938732914966]
14;[34, '23', 0.018843700435703385]
14;[35, '2', 0.018821910559446795]
14;[36, '6', 0.018444076685258482]
14;[37, '82', 0.017946989789717763]
14;[38, '160', 0.017441746935563926]
14;[39, '26', 0.017098432265090256]
14;[40, '41', 0.016433364154709185]
14;[41, '59', 0.01641013567317485]
14;[42, '1', 0.014994186283449392]
14;[43, '141', 0.01373709304207074]
14;[44, '31', 0.011981195290706532]
14;[45, '166', 0.011291574119796638]
14;[46, '3', 0.010262239962163975]
14;[47, '113', 0.00940111128817777]
14;[48, '42', 0.008960890165509338]
14;[49, '139', 0.008838740909284944]
14;[50, '167', 0.008622491673622454]
14;[51, '74', 0.007504876457273853]
14;[52, '8', 0.007414773300223096]
14;[53, '156', 0.007201046008059854]
14;[54, '149', 0.0071817352899424544]
14;[55, '43', 0.0066733839298081365]
14;[56, '143', 0.00661410267296183]
14;[57, '61', 0.00659811415398588]
14;[58, '27', 0.006311338944230623]
14;[59, '53', 0.006177246762644398]
14;[60, '65', 0.006175817950458263]
14;[61, '15', 0.006051460560202315]
14;[62, '13', 0.005961178469090115]
14;[63, '52', 0.0057254019863844105]
14;[64, '151', 0.005520116569183603]
